"ID;Respon"
"1;Uang korupsi yg bingung cucinya gmn ya ini?! Kyk yg 271T kmrn tuh, 56M cash disimpen dirumah"
"2;Banyak kali orang aja bisa korupsi 271T masa kamu gak bisa kasi kesempatan sekali lagi??? Kurang chagi"
"3;iya kan kasus korupsi 271t sama 3000t kemarin belum hilang dari ingatan rakyat, jadi di bongkar dulu yang kasus di bawah bawah 271 dan 3000 itu. macam tidak ngerti aja ya kan"
"4;Negara lg dirampok emg bener koq, buktinya korupsi timah kerugian ekologinya aja sampe 271T, kritik yg beradab tuh kaya gmn emg, kaya kritik lu ke Anies?"
"5;oot banget maaf, tp salfok buseeetttt berarti segede apa korupsi 271T itu ya sebenernya bisa kaya loh negara ini klo gak ada tikus, bts yg ngehasilin 133T aja udh ngaruh banget ke GDP"
"6;Inilah tanggapan seorang guru atas Mega Korupsi 271 T"
"7;Beginilah tanggapan seorang guru atas Mega Korupsi 271 T, rinci banget loh... "
"8;suka dan bisa fisika ga? Cok, lu mau gw korupsi kh biar dpt 271T? Bayar pake cinta bisa ga?"
"9;Mon maap nih...yg korupsi 271T orang mana yahh?"
"10;Ternyata hasil korupsi 271T"
"11;katanya kalau korupsi 271t mau beli chelsea"
